launchTime, launchX, launchY, landTime, landX, landY, FlightTime, Distance
180.000000, 2461.336862, -3903.897509, 180.388276, 2469.424990, -3938.931042, 0.388276, 35.955058
203.029025, 2535.028438, -3940.527018, 203.540920, 2544.073458, -3979.705306, 0.511895, 40.208838
203.029025, 2505.089153, -3898.585116, 203.914720, 2520.890900, -3967.030000, 0.885695, 70.245265
203.029025, 2453.613832, -3866.782130, 203.880693, 2471.466692, -3944.111360, 0.851668, 79.363306
203.029025, 2414.152449, -3878.734126, 203.548150, 2422.238001, -3913.756497, 0.519125, 35.943603
213.767122, 2369.473049, -3939.024169, 214.634590, 2383.884916, -4001.448824, 0.867468, 64.066680
222.038519, 2368.420018, -3996.496153, 222.673606, 2382.245512, -4056.380948, 0.635086, 61.460011
222.038519, 2592.993350, -4003.851696, 222.956625, 2611.982557, -4086.102985, 0.918106, 84.414837
222.038519, 2577.381347, -3956.622323, 222.566650, 2588.245077, -4003.678308, 0.528130, 48.293751
231.248072, 2398.482888, -4038.190866, 231.751712, 2409.456519, -4085.722886, 0.503640, 48.782307
231.248072, 2460.572055, -4082.685255, 231.928304, 2471.419374, -4129.670159, 0.680232, 48.220800
231.248072, 2597.901379, -3965.270470, 231.677536, 2605.738031, -3999.214738, 0.429464, 34.837142
268.049538, 6046.543740, -966.002258, 269.365398, 6058.157543, -1031.867411, 1.315860, 66.881228
280.987473, 6074.204697, -1253.505599, 281.575260, 6080.933277, -1291.665272, 0.587787, 38.748348
287.314118, 5336.052015, -1528.872458, 288.558180, 5349.746318, -1606.536709, 1.244062, 78.862347
287.314118, 6012.702030, -1459.610275, 287.943523, 6018.229419, -1490.957658, 0.629405, 31.830967
240.000000, 2844.940752, -2701.846113, 240.714091, 2854.264536, -2754.723922, 0.714091, 53.693534
249.110827, 2735.172121, -2650.750593, 249.664434, 2742.029083, -2689.638356, 0.553607, 39.487670
253.678409, 2805.091500, -3333.093995, 254.994269, 2817.859469, -3405.504744, 1.315860, 73.527801
253.678409, 2933.766444, -3276.348139, 254.277069, 2939.470753, -3308.698879, 0.598661, 32.849802
253.678409, 2970.365987, -2819.088242, 254.742977, 2979.808943, -2872.641909, 1.064568, 54.379819
258.502131, 2569.722843, -3323.765514, 259.342910, 2578.412669, -3373.047968, 0.840780, 50.042716
258.502131, 2936.983192, -3276.402241, 259.889789, 2949.497752, -3347.375836, 1.387658, 72.068477
258.502131, 2852.881546, -2697.740028, 259.137217, 2862.014252, -2749.534175, 0.635086, 52.593155
270.914869, 2726.222524, -3347.261196, 272.015336, 2735.388391, -3399.243410, 1.100467, 52.784123
270.914869, 3065.619779, -3055.782299, 271.470147, 3071.182339, -3087.329144, 0.555278, 32.033506
281.929753, 2608.649091, -3343.657812, 282.958423, 2619.341705, -3404.298643, 1.028669, 61.576313
281.929753, 2835.669029, -3422.267532, 282.521184, 2841.326579, -3454.353094, 0.591430, 32.580534
293.823740, 2334.592222, -3296.061823, 295.211397, 2347.842146, -3371.205877, 1.387658, 76.303272
293.823740, 2707.405616, -3369.983915, 294.628007, 2715.542847, -3416.132443, 0.804267, 46.860444
293.823740, 2877.521282, -3432.655946, 294.400709, 2883.709037, -3467.748452, 0.576969, 35.633864
293.823740, 2881.267286, -3420.248519, 294.888308, 2890.717791, -3473.845000, 1.064568, 54.423293
259.543253, 1730.117862, -4044.372712, 259.940518, 1735.352531, -4074.059994, 0.397265, 30.145256
280.942613, -1008.659684, -3373.429093, 281.446253, -1002.377460, -3409.057359, 0.503640, 36.177889
280.942613, -467.278171, -3737.377799, 281.404660, -461.043318, -3772.737402, 0.462047, 35.905082
